f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,work_type,target
0.49902493,0.4612169,0.58846205,0.51219046,0.72366136,0.8265992,1.0,0.46056548,0.3709142,0.36738893,0.75316423,0.43700215,0.7,0.30607972,0.31918252,0.35192874,0.32573032,0.51288086,0.40235835,0.38701957,0.9472396,0.580144,0.40360653,0.3532481,0.3092283,0.34465966,0.2967157,0.19630685,0.09098741,0.12833634,0.46096608,0.10424674,0.28927416,0.0,0.91572875,0.0,0.5,0.72174925,0.5951688,0.7589004,0.562609,0.5956874,0.0,0.0,0.40596533,0.5741076,0.36340097,0.50169474,0.47285542,1.0,1.0,0.6650214,0.67812335,1.0,0.45305064,0.7,0.34759495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4419972,0.0,0.05304516,0.0,1.0,0.33333334,0.0,0.0,0.012213914,1.0,0.39532077,0.0,0.3882922,0.0,0.0,0.0,0.0,0.0,0.24515125,0.5360642,0.0,0.49168646,0.0,0.61258227,1.0,0.2786968,0.36992767,0.0,0.5308814,tradesperson,0.60444146
0.4599113,0.40233538,0.34858164,0.4248334,0.72398806,0.80901206,1.0,0.4680094,0.40360034,0.28854135,0.6483293,0.33289376,0.75,0.37522992,0.48662266,0.3733937,0.41174877,0.34102705,0.32689056,0.21235256,0.87178373,0.5134269,0.56465477,0.29385486,0.23655449,0.41018978,0.42626628,0.31221986,0.0930435,0.09263243,0.66297126,0.118719645,0.27777106,1.0,0.97127116,0.0,0.5,0.37614238,0.19900502,0.3722395,0.2545811,0.20352215,0.0,0.0,0.21092081,0.8054533,0.38687763,0.6862502,0.30238903,1.0,1.0,0.59307295,0.6616515,1.0,0.57339346,0.8,0.667132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43081903,1.0,0.29727876,0.0,0.0,0.33333334,0.0,1.0,0.3908851,1.0,0.49204704,0.0,0.32701728,0.0,0.0,0.0,0.0,1.0,0.41648865,0.42428207,1.0,0.4152748,0.0,0.69738793,0.0,0.2722736,0.4814465,0.0,0.605328,freelancer,0.579601
0.21936494,0.33720806,0.18259403,0.19561695,0.70629007,0.8059289,1.0,0.33354762,0.42062524,0.23848565,0.5355532,0.5875848,0.7,0.66407853,0.76895154,0.6894123,0.7074808,0.72459817,0.67260075,0.6741279,0.91699487,0.80082625,0.85434085,0.522859,0.5075056,0.6483751,0.5581292,0.525167,0.011651484,0.0023416004,0.8625579,0.098350324,0.69198036,1.0,0.98126644,0.0,0.5,0.38170683,0.5290716,0.5326236,0.4459496,0.4153314,1.0,0.0,0.2974439,0.77776694,0.4555015,0.7245663,0.33729795,1.0,1.0,0.53028953,0.4967219,1.0,0.4715423,0.7,0.55400276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42988738,1.0,0.40625408,0.0,1.0,0.6666667,1.0,0.0,0.045136195,0.0,0.0,0.0,0.14232661,0.0,0.0,0.0,0.0,0.0,0.17865495,0.45378253,0.0,0.395879,1.0,0.5928887,1.0,0.46419603,0.06210693,1.0,0.61538696,tradesperson,0.6402776
0.7865754,0.42760286,0.4262592,0.39737886,0.6857231,0.864277,1.0,0.6255335,0.552009,0.36331776,0.67373955,0.23382601,0.75,0.4836734,0.3919493,0.5002668,0.45862985,0.50986105,0.33607426,0.4096999,0.8886458,0.6209306,0.58332586,0.39570817,0.5307244,0.41181365,0.4140246,0.29669595,0.19596505,0.11119894,0.6164487,0.20270133,0.39364436,1.0,0.8714172,1.0,0.7,0.25127968,0.30768707,0.35395163,0.45119703,0.3099431,0.0,0.0,0.2436699,0.88271827,0.47286233,0.7702545,0.22990349,1.0,0.0,0.4293147,0.46854004,1.0,0.40943226,0.8,0.31507352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4037147,0.0,0.036776513,1.0,1.0,0.6666667,1.0,0.0,0.0,1.0,0.42198494,0.0,0.51856595,0.0,0.0,1.0,0.0,0.0,0.35183612,0.5274657,0.0,0.469504,0.0,0.44518456,1.0,0.22463213,0.25997776,0.0,0.5062507,freelancer,0.53750575
0.4131939,0.5219687,0.39798036,0.4129518,0.7969157,0.8604452,0.0,0.4708096,0.44682184,0.47112045,0.73168606,0.6621295,0.7,0.5135689,0.48294553,0.5384363,0.5116502,0.50815254,0.41850963,0.5597791,1.0,0.6647368,0.66644007,0.4457694,0.45495674,0.4426163,0.44830814,0.30102652,0.11707334,0.017191363,0.5168077,0.0,0.4236641,1.0,1.0,1.0,0.5,0.6572875,0.70666736,0.6586518,0.60179424,0.5008625,1.0,1.0,0.5221411,0.62777114,0.24465507,0.54100937,0.5595602,1.0,1.0,0.33153546,0.30801177,1.0,0.17807108,0.7,0.42543483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21789965,0.0,0.0,0.0,1.0,0.33333334,1.0,0.0,0.0,0.0,0.0,0.0,0.16767932,0.0,1.0,0.0,0.0,0.0,0.24655358,0.14117171,0.0,0.20069927,1.0,0.26459867,1.0,0.42005756,0.0,0.0,0.49979866,tradesperson,0.56331915
0.4211122,0.30009612,0.44184595,0.26378518,0.70092404,0.78713715,1.0,0.42137888,0.55498785,0.35128945,0.6030511,0.27695552,0.75,0.65778697,0.5961525,0.64739656,0.6337787,0.6305551,0.64388275,0.4343145,0.78166884,0.7354844,0.8154237,0.5012943,0.39720857,0.6099474,0.4250397,0.48031878,0.4170758,0.48821348,0.66618985,0.3522882,0.54107344,0.0,0.51679397,0.0,0.7,0.42673913,0.36356294,0.3177415,0.24538234,0.16826326,0.0,0.0,0.32995123,0.8806142,0.40992564,0.7521841,0.31030476,1.0,1.0,0.80411017,0.7926259,1.0,0.7085083,0.8,0.445521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.60085595,0.0,0.074889384,1.0,0.0,0.33333334,0.0,0.0,0.10355413,1.0,0.2863328,0.0,0.43103826,0.0,0.0,0.0,0.0,1.0,0.25124052,0.37146997,0.0,0.42815208,1.0,0.60522807,0.0,0.44628438,0.22333865,0.0,0.62059087,freelancer,0.5314556
0.41139948,0.6509853,0.50492823,0.46932948,0.81701225,0.75110835,0.0,0.44828382,0.3235005,0.34360793,0.7104248,0.40421999,0.7,0.7042865,0.75763524,0.77330184,0.7450745,0.75746185,0.6503558,0.7544694,0.90105057,0.8408251,0.75347406,0.66032356,0.5532026,0.6944542,0.68808067,0.40527853,0.0012104781,0.0,0.8914002,0.21115012,0.73301125,1.0,0.83661896,0.0,0.3,0.31783986,0.49594775,0.59421796,0.44478583,0.3390305,1.0,0.0,0.2965909,0.78848386,0.38805747,0.6677508,0.35007223,0.0,0.0,0.648767,0.75260854,1.0,0.56935644,0.7,0.33513778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5268138,1.0,0.25872862,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.40692917,0.0,0.19616021,0.0,0.0,0.0,0.0,1.0,0.09728208,0.5045883,0.0,0.41526017,0.0,0.6630551,1.0,0.6036433,0.31916302,0.0,0.7147412,tradesperson,0.6289934
0.41072327,0.7519138,0.6757257,0.7026877,0.96387196,1.0,1.0,0.8499612,0.4436742,0.67421263,0.9546424,0.6415719,0.65,0.6215792,0.5326525,0.5771295,0.57712036,0.5199918,0.5583288,0.42503577,0.79790777,0.5758378,0.75387144,0.4328481,0.45475492,0.5763861,0.50368416,0.43732324,0.29815218,0.4887112,0.7513575,0.27136004,0.5502416,0.0,0.72115636,0.0,0.7,0.69636387,0.65863514,0.87798375,0.56688184,0.6876645,1.0,1.0,0.40730855,0.60616297,0.28182214,0.4292879,0.62681025,1.0,1.0,0.7436883,0.84339,1.0,0.69119024,0.7,0.43873453,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5972138,0.0,0.0,1.0,1.0,0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,0.22298664,0.0,0.0,0.0,1.0,0.0,0.28953284,0.3733863,0.0,0.28727615,1.0,0.8242092,1.0,0.4642746,0.0,1.0,0.7023822,platform_worker,0.69579387
0.9170055,0.6412666,0.47692752,0.643226,0.8371642,0.9243624,0.0,0.56136304,0.4787386,0.44180968,0.8031884,0.246221,0.75,0.46281433,0.5170237,0.34595266,0.44193023,0.48148584,0.3854166,0.3102538,0.777962,0.61091095,0.62003857,0.3468809,0.40219995,0.37199467,0.37712327,0.20004639,0.43326396,0.45675835,0.6040626,0.24525414,0.23974957,0.0,0.55736125,1.0,0.3,0.21904306,0.28764006,0.40364486,0.40163505,0.3585755,0.0,0.0,0.3052075,0.83348346,0.3738783,0.79629064,0.2959715,1.0,1.0,0.5247981,0.6779634,1.0,0.53673416,0.8,0.34540913,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.48540395,1.0,0.23061807,0.0,1.0,0.6666667,0.0,1.0,0.30293316,1.0,0.32785833,0.0,0.6220918,0.0,1.0,0.0,0.0,0.0,0.38638005,0.42767632,1.0,0.5041977,0.0,0.65517217,1.0,0.42579922,0.31728122,0.0,0.627475,freelancer,0.53972906
0.29777104,0.43075404,0.35861146,0.40892744,0.6952677,0.85774744,1.0,0.34536472,0.32297525,0.21833391,0.6952644,0.38730916,0.6,0.7293812,0.8163438,0.74278706,0.76283735,0.71341383,0.6147723,0.7093996,0.9293111,0.81287044,0.83216435,0.60579973,0.51511157,0.7049321,0.73305684,0.4896933,0.17752011,0.19116439,0.79620385,0.07172618,0.6123482,1.0,0.78643906,0.0,0.7,0.4941634,0.48084542,0.5004173,0.5334667,0.45055458,1.0,0.0,0.33502418,0.74676543,0.21655157,0.64763826,0.38954237,1.0,1.0,0.8261368,0.7398495,1.0,0.68998265,0.6,0.4419348,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6470967,0.0,0.017077984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19137596,0.0,0.44255844,0.0,0.0,0.0,0.0,0.0,0.32290378,0.41001907,1.0,0.46187773,1.0,0.74449533,0.0,0.63293165,0.1888541,0.0,0.5660519,vendor,0.6313096
0.08634661,0.14067101,0.11812572,0.09968019,0.5911974,0.65272844,0.0,0.15063584,0.36886737,0.08472477,0.44412735,0.54824984,0.7,0.6260369,0.6025621,0.60074365,0.6097809,0.5889259,0.47040355,0.50716895,0.70698375,0.6323267,0.5324424,0.3957971,0.56843454,0.6256556,0.61308706,0.45818725,0.5394408,0.3785756,0.6543684,0.40849325,0.49055713,0.0,0.4421314,1.0,0.3,0.58975875,0.600956,0.4076022,0.3729999,0.3618974,1.0,0.0,0.35841253,0.7550243,0.35284847,0.4978064,0.5242796,1.0,1.0,0.8037793,0.87359446,1.0,0.52222425,0.7,0.42399892,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.70028234,1.0,0.22753872,0.0,1.0,0.6666667,1.0,0.0,0.034343347,1.0,0.25891492,0.0,0.4306917,0.0,0.0,1.0,0.0,1.0,0.31233218,0.435218,0.0,0.48751792,0.0,0.70590657,0.0,0.5002623,0.19914612,1.0,0.50344,tradesperson,0.47569597
0.47544912,0.67297894,0.56085104,0.48195404,0.869621,0.8778552,1.0,0.70593643,0.3096395,0.56113935,0.8610208,0.3658185,0.6,0.028484408,0.0,0.14126341,0.056582604,0.09138126,0.025455428,0.16665304,0.8916382,0.3244433,0.29941025,0.0,0.05430717,0.032674115,0.0875458,0.14830613,0.20991978,0.10934803,0.21800995,0.009641018,0.12135023,1.0,0.98685527,0.0,0.5,0.31760415,0.28401056,0.46549568,0.44847438,0.30232632,1.0,0.0,0.27680293,0.847785,0.33778787,0.79038805,0.3235507,1.0,1.0,0.5769436,0.55136365,1.0,0.5715271,0.6,0.40448573,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.47372773,1.0,0.38569507,0.0,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.42283314,1.0,0.0,0.0,0.0,0.0,0.27116832,0.485508,0.0,0.46469885,1.0,0.4701417,1.0,0.0138003,0.04850293,0.0,0.56623393,vendor,0.5661525
0.34907046,0.53686583,0.4093204,0.51091844,0.79357296,0.86641246,1.0,0.49912414,0.43691552,0.41902488,0.7133918,0.4818866,0.65,0.63241416,0.4771044,0.560156,0.5565582,0.5436702,0.43785566,0.38586614,0.87677306,0.6695193,0.53297126,0.3683395,0.41172418,0.5150827,0.48929933,0.09236518,0.25595993,0.13681993,0.6875783,0.13972297,0.40697098,1.0,0.87473434,0.0,0.3,0.6443466,0.6080291,0.65943927,0.42330834,0.5754785,0.0,0.0,0.35819203,0.644716,0.42521256,0.5067419,0.57754165,1.0,1.0,0.3946592,0.3561423,1.0,0.2752057,0.7,0.36231893,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.43846628,0.0,0.0,1.0,1.0,0.6666667,0.0,1.0,0.5400539,1.0,0.7029377,0.0,0.35377228,0.0,1.0,1.0,0.0,0.0,0.18439212,0.43201497,0.0,0.3707793,0.0,0.43608144,1.0,0.3937537,0.54990005,1.0,0.65721077,platform_worker,0.6654529
0.88245857,0.52065235,0.53717834,0.64615995,0.8060878,0.9270813,0.0,0.4807942,0.4518644,0.3071559,0.7205312,0.3237903,0.75,0.7335138,0.66310054,0.7433321,0.7133154,0.7581718,0.665135,0.4822559,0.8413619,0.7321005,0.8039557,0.6295774,0.56774217,0.6394784,0.6486855,0.38332802,0.16298838,0.25415522,0.85420626,0.2281988,0.54672766,1.0,0.82452404,0.0,0.5,0.40446255,0.20018823,0.48182017,0.45379362,0.33892015,0.0,1.0,0.2756553,0.735637,0.30298263,0.75709295,0.47108585,1.0,0.0,0.6341106,0.8224892,1.0,0.62356037,0.8,0.35227305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.52385706,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32314363,1.0,0.31306657,0.0,0.51859623,0.0,1.0,1.0,0.0,1.0,0.46869323,0.58377296,1.0,0.5184773,1.0,0.68421733,0.0,0.58838636,0.2847933,0.0,0.71937275,freelancer,0.6802636
0.49857473,0.4085113,0.32457578,0.346287,0.66490704,0.818025,1.0,0.49710125,0.366231,0.26213416,0.60719,0.63799316,0.75,0.21875684,0.29523116,0.31942943,0.2778058,0.24418034,0.14444222,0.11663549,0.90909475,0.41952616,0.4342382,0.21986453,0.22583602,0.23290439,0.16041084,0.07246961,0.31783175,0.17910159,0.3156053,0.22393744,0.13817832,0.0,0.8580679,1.0,0.3,0.6244984,0.7023686,0.5741344,0.5605692,0.5841373,1.0,0.0,0.43005666,0.81729597,0.4184041,0.5594456,0.5756981,0.0,1.0,0.20052686,0.37238586,1.0,0.2421154,0.8,0.45077863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2785366,1.0,0.3369329,0.0,1.0,0.6666667,0.0,0.0,0.00067009294,0.0,0.041104175,0.0,0.42087308,0.0,0.0,0.0,0.0,0.0,0.28975847,0.57277143,0.0,0.627065,1.0,0.2737171,1.0,0.21022335,0.035611566,0.0,0.43414095,freelancer,0.49213824
0.2093149,0.33730263,0.45073906,0.41357362,0.7526549,0.759395,0.0,0.42245826,0.3729372,0.35376975,0.7171078,0.5812824,0.7,0.8432181,0.87558514,0.80292046,0.84057456,0.6635112,0.7259337,0.57586485,0.96958905,0.80202585,0.7395141,0.79565245,0.5668533,0.75379187,0.7665546,0.41083258,0.1386008,0.0005700357,0.8304922,0.06566433,0.6982958,0.0,1.0,0.0,0.5,0.49679357,0.44116896,0.45086554,0.51918125,0.42536166,1.0,0.0,0.26211694,0.8572653,0.31740823,0.66016096,0.3947564,1.0,1.0,0.46438375,0.5007012,0.0,0.23559715,0.7,0.3120837,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.39078766,0.0,0.02634881,1.0,1.0,0.6666667,0.0,0.0,0.0382048,1.0,0.4415024,0.0,0.19444853,0.0,0.0,0.0,0.0,0.0,0.1313227,0.35737514,0.0,0.29344952,1.0,0.43400818,1.0,0.6158389,0.38978064,0.0,0.6283592,tradesperson,0.6939481
